Symbol,Description
KLDO,"Kaleido Biosciences, Inc., a clinical-stage healthcare company, develops microbiome metabolic therapies. The company develops KB195 for the treatment of patients with urea cycle disorder; KB295 to treat ulcerative colitis; KB174 for the treatment of hepatic encephalopathy; and KB109 to treat COVID-19 disease. It also develops programs for the treatment of immuno-oncology, and cardiometabolic and liver diseases. The company has collaboration agreements with Gustave Roussy Cancer Center, Washington University School of Medicine, and Janssen. The company was incorporated in 2015 and is headquartered in Lexington, Massachusetts."
KLR,"Kaleyra, Inc. provides mobile communication services for financial institutions and enterprises of various sizes worldwide. Through its proprietary platform, the company manages multi-channel integrated communication services on a global scale comprising of messages, push notifications, e-mail, instant messaging, voice services, and chatbots. Its technology manages billions of messages monthly with a reach to hundreds of MNOs and approximately 190 countries. Kaleyra, Inc. was founded in 1999 and is headquartered in Milan, Italy."
KLXE,"KLX Energy Services Holdings, Inc. provides drilling, completions, production, and well intervention services and products to the onshore oil and gas producing regions of the United States. The company operates through three segments: Southwest, Rocky Mountains, and Northeast/Mid-Con. It provides directional drilling services; and downhole navigational and rental tools businesses and support services, including well planning, site supervision, accommodation rentals, and other drilling rentals. The company also offers coiled tubing and nitrogen services; pressure control products and services; wellhead and hydraulic fracturing rental products and services; flowback and testing services; and wireline services. In addition, it offers toe sleeves; wet shoe cementing bypass subs; composite plugs; dissolvable plugs; liner hangers; stage cementing tools, inflatables, float and casing equipment; retrievable completion tools; cementing products and services; thru-tubing technologies and services; rig assist snubbing services; and acidizing and pressure pumping services. Further, the company provides production services comprising maintenance-related intervention services; production blow out presenters; mechanical wireline services; slick line services; hydro-testing services; premium tubulars; and other specialized production tools. It also provides intervention services consisting of technicians and equipment that are focused on providing customers engineered solutions to downhole complications. The company offers a range of technical services, and related tools and equipment to companies engaged in the exploration and development of North American onshore conventional and unconventional oil and natural gas reserves. KLX Energy Services Holdings, Inc. was incorporated in 2018 and is headquartered in Houston, Texas."
KMB,"Kimberly-Clark Corporation, together with its subsidiaries, manufactures and markets personal care and consumer tissue products worldwide. It operates through three segments: Personal Care, Consumer Tissue, and K-C Professional. The Personal Care segment offers disposable diapers, training and youth pants, swimpants, baby wipes, feminine and incontinence care products, and other related products under the Huggies, Pull-Ups, Little Swimmers, GoodNites, DryNites, Sweety, Kotex, U by Kotex, Intimus, Depend, Plenitud, Softex, Poise, and other brand names. The Consumer Tissue segment provides facial and bathroom tissues, paper towels, napkins, and related products under the Kleenex, Scott, Cottonelle, Viva, Andrex, Scottex, Neve, and other brand names. The K-C Professional segment offers wipers, tissues, towels, apparel, soaps, and sanitizers under the Kleenex, Scott, WypAll, Kimtech, and KleenGuard brands. The company sells household use products directly to supermarkets, mass merchandisers, drugstores, warehouse clubs, variety and department stores, and other retail outlets, as well as through other distributors and e-commerce; and away-from-home use products directly to manufacturing, lodging, office building, food service, and public facilities, as well as through distributors and e-commerce. Kimberly-Clark Corporation was founded in 1872 and is headquartered in Dallas, Texas."
KMI,"Kinder Morgan, Inc. operates as an energy infrastructure company in North America. The company operates through Natural Gas Pipelines, Products Pipelines, Terminals, and CO2 segments. The Natural Gas Pipelines segment owns and operates interstate and intrastate natural gas pipeline, and underground storage systems; natural gas gathering systems and natural gas processing and treating facilities; natural gas liquids fractionation facilities and transportation systems; and liquefied natural gas liquefaction and storage facilities. The Products Pipelines segment owns and operates refined petroleum products, and crude oil and condensate pipelines; and associated product terminals and petroleum pipeline transmix facilities. The Terminals segment owns and/or operates liquids and bulk terminals that stores and handles various commodities, including gasoline, diesel fuel, chemicals, ethanol, metals, and petroleum coke; and owns tankers. The CO2 segment produces, transports, and markets CO2 to recovery and production crude oil from mature oil fields; and owns interests in/or operates oil fields and gasoline processing plants, as well as operates a crude oil pipeline system in West Texas. It owns and operates approximately 83,000 miles of pipelines and 144 terminals. The company was formerly known as Kinder Morgan Holdco LLC and changed its name to Kinder Morgan, Inc. in February 2011. Kinder Morgan, Inc. was founded in 1936 and is headquartered in Houston, Texas."
KMPH,"KemPharm, Inc., a specialty pharmaceutical company, discovers and develops various proprietary prodrugs to treat serious medical conditions in the United States. The company utilizes its Ligand Activated Therapy technology to generate improved prodrug versions of FDA-approved drugs, as well as to generate prodrug versions of existing compounds that may have applications for new disease indications. Its prodrug product candidate pipeline is focused on the high need areas of attention deficit hyperactivity disorder, stimulant use disorder, and CNS rare diseases, including idiopathic hypersomnia. KemPharm's lead clinical development candidate for the treatment of stimulant use disorder, KP879, is based on its prodrug of d-methylphenidate, known as serdexmethylphnidate. In addition, the company has received FDA approval for AZSTARYS, a new once-daily treatment for attention deficit hyperactivity disorder in patents age six years and older, and for APADAZ, an immediate-release combination product containing benzhydrocodone, a prodrug of hydrocodone, and acetaminophen. KemPharm, Inc. has collaboration and license agreement, with KVK-Tech, Inc. The company was incorporated in 2006 and is headquartered in Celebration, Florida."
KMX,"CarMax, Inc., through its subsidiaries, operates as a retailer of used vehicles in the United States. The company operates in two segments, CarMax Sales Operations and CarMax Auto Finance. It offers customers a range of makes and models of used vehicles, including domestic, imported, and luxury vehicles; and extended protection plans to customers at the time of sale, as well as sells vehicles that are approximately 10 years old and has more than 100,000 miles through whole auctions. The company also provides reconditioning and vehicle repair services; and financing alternatives for retail customers across a range of credit spectrum through its CarMax Auto Finance and arrangements with various financial institutions. As of February 28, 2021, it operated approximately 220 used car stores and 1 new car franchises. CarMax, Inc. was founded in 1993 and is based in Richmond, Virginia."
KNBE,"KnowBe4, Inc. engages in the development of security awareness training and simulated phishing platform. Its security awareness platform enables organizations to assess, monitor, and minimize the ongoing cybersecurity threat of social engineering attacks. The company's products include Kevin Mitnick Security Awareness Training, a security awareness training product; KnowBe4 Enterprise Awareness Training, an integrated platform that simulated random attacks; KCM GRC Platform, a SaaS-based GRC platform; PhishER, analyses suspected attacks that employees report by clicking the Phish Alert Button within their email applications; and KnowBe4 Compliance Manager that help customers save time and resources by providing an intuitive user interface with streamlined workflows that enables visibility into the ongoing audit and compliance processes at various levels of the business. It also offers phishing test tools that help organizations assess their vulnerability to various formats of phishing attacks and benchmark their security awareness levels against their peers, as well as Phish Alert email add-in button, which allows users to forward email threats to the security team for analysis in one click; security awareness training tools that help IT teams create and deploy security awareness programs; password tools to evaluate password-related risks within organizations; email security tools to assess email-related security threats, including spear phishing, domain spoof, or mail server malfunctions; and malware tools to test an organization's network against ransomware and crypto-mining attacks. The company serves its customers directly through inside sales teams for enterprise and small and medium businesses, as well as indirectly through channel partners and managed service providers. The company was formerly known as SEQRIT, LLC and changed its name to KnowBe4, Inc. in January 2016. KnowBe4, Inc. was founded in 2010 and is headquartered in Clearwater, Florida."
KNSA,"Kiniksa Pharmaceuticals, Ltd., a clinical-stage biopharmaceutical company, focuses on discovering, acquiring, developing, and commercializing therapeutic medicines for patients suffering from debilitating diseases with significant unmet medical need worldwide. Its product candidates include Rilonacept, which is in Phase III clinical trials for the treatment of recurrent pericarditis, an inflammatory cardiovascular disease; Mavrilimumab, a monoclonal antibody that is in Phase II clinical trials for the treatment of giant cell arteritis; and Vixarelimab, a monoclonal antibody, which is in Phase 2a clinical trial for the treatment of prurigo nodularis, a chronic inflammatory skin condition. The company's preclinical product candidates comprise KPL-404, a monoclonal antibody inhibitor of the CD40/CD40L interaction, a central control node of T-cell-dependent, and B-cell-mediated humoral adaptive immunity. The company has a clinical collaboration with Kite Pharma, Inc. to evaluate the combination of Yescarta and Mavrilimumab in patients with relapsed or refractory Large B-Cell lymphoma. Kiniksa Pharmaceuticals, Ltd. was founded in 2015 and is based in Hamilton, Bermuda."
KNSL,"Kinsale Capital Group, Inc., a specialty insurance company, provides property and casualty insurance products in the United States. Its commercial lines offerings include construction, small business, excess and general casualty, commercial property, allied health, life sciences, energy, environmental, health care, inland marine, public entity, and commercial insurance, as well as product, professional, and management liability insurance. The company markets and sells its insurance products in all 50 states, the District of Columbia, the Commonwealth of Puerto Rico, and the U.S. Virgin Islands primarily through a network of independent insurance brokers. Kinsale Capital Group, Inc. was founded in 2009 and is headquartered in Richmond, Virginia."
KNTE,"Kinnate Biopharma Inc., a biopharmaceutical company, focuses on the discovery and development of small molecule kinase inhibitors to treat genomically defined cancers. It develops KIN-2787, which is a rapidly accelerated fibrosarcoma inhibitor for the treatment of patients with lung cancer, melanoma, and other solid tumors; KIN-3248 small-molecule kinase inhibitors that target cancer-associated alterations in fibroblast growth factor receptors (FGFR)2 and FGFR3 genes; and small molecule research programs, including a Cyclin-Dependent Kinase 12 inhibitor in its KIN004 program. The company was incorporated in 2018 and is headquartered in San Diego, California."
KO,"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide. The company provides sparkling soft drinks; water, enhanced water, and sports drinks; juice, dairy, and plantÂbased beverages; tea and coffee; and energy drinks. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers, such as restaurants and convenience stores. The company sells its products under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, Fanta, Fresca, Schweppes, Sprite, Thums Up, Aquarius, Ciel, Dasani, glacÃ©au smartwater, glacÃ©au vitaminwater, Ice Dew, I LOHAS, Powerade, Topo Chico, AdeS, Del Valle, fairlife, innocent, Minute Maid, Minute Maid Pulpy, Simply, Ayataka, Costa, dogadan, FUZE TEA, Georgia, Gold Peak, HONEST TEA, and Kochakaden brands. It operates through a network of independent bottling partners, distributors, wholesalers, and retailers, as well as through bottling and distribution operators. The company was founded in 1886 and is headquartered in Atlanta, Georgia."
KOD,"Kodiak Sciences Inc., a clinical stage biopharmaceutical company, engages in researching, developing, and commercializing therapeutics to treat retinal diseases in the United States and international markets. Its lead product candidate is KSI-301, a vascular endothelial growth factor (VEGF)-biological agent that is in Phase 1b clinical study to treat wet age-related macular degeneration (AMD) and diabetic retinopathy, including diabetic macular edema, as well as for macular edema due to retinal vein occlusion. The company's preclinical stage product candidate includes KSI-501, a bispecific anti-interleukin 6/VEGF bioconjugate conjugate to treat neovascular retinal diseases with an inflammatory component. Its early research pipeline includes KSI-601, a triplet inhibitor for the treatment of multifactorial retinal diseases, such as dry AMD and the neurodegenerative aspects of glaucoma. The company was formerly known as Oligasis, LLC and changed its name to Kodiak Sciences Inc. in September 2015. Kodiak Sciences Inc. was founded in 2009 and is based in Palo Alto, California."
KODK,"Eastman Kodak Company provides hardware, software, consumables, and services to customers in the commercial print, packaging, publishing, manufacturing, entertainment and commercial films, and consumer products markets worldwide. The company operates in four segments: Traditional Printing, Digital Printing, Advanced Materials and Chemicals, and Brand. The Traditional Printing segment offers digital offset plate and computer-to-plate imaging solutions to commercial industries, including commercial print, direct mail, book publishing, newspapers and magazines, and packaging. The Digital Printing segment offers electrophotographic printing solutions, such as DIGIMASTER and NEXFINITY printers; prosper products, including the PROSPER press systems and PROSPER components; versamark products; and Software comprising PRINERGY workflow production software. The Advanced Materials and Chemicals segment engages in industrial film and chemicals, motion picture, and advanced materials and functional printing businesses; and kodak services for business. This segment also comprises the Kodak Research Laboratories, which conducts research, develops new product or new business opportunities, and files patent applications for its inventions and innovations, as well as manages licensing of its intellectual property to third parties. The Brand segment engages in the licensing of Kodak brand to third parties. Additionally, it engages in the operation of Eastman Business Park, a technology center and industrial complex. The company sells its products and services through direct sales, third party resellers, and distributors. Eastman Kodak Company was founded in 1880 and is headquartered in Rochester, New York."
KOPN,"Kopin Corporation, together with its subsidiaries, invents, develops, manufactures, and sells components, subassemblies, and head-worn and hand-held systems in the United States, the Asia-Pacific, Europe, and internationally. It offers miniature active-matrix liquid crystal displays, liquid crystal on silicon displays/spatial light modulators, organic light emitting diode displays, application specific integrated circuits, backlights, and optical lenses; and headset systems. The company's products are used in soldier, avionic, armored vehicle and training, and simulation defense applications; industrial, public safety, and medical headsets; 3D optical inspection systems; and consumer augmented reality and virtual reality wearable headsets systems. Kopin Corporation was incorporated in 1984 and is headquartered in Westborough, Massachusetts."
KOSS,"Koss Corporation, together with its subsidiaries, designs, manufactures, and sells stereo headphones and related accessories in the United States, the Czech Republic, Sweden, Canada, the Russian Federation, Australia, Malaysia, and internationally. It offers high-fidelity headphones, wireless Bluetooth headphones, wireless Bluetooth speakers, computer headsets, telecommunications headsets, active noise canceling headphones, and compact disc recordings under the Koss Classics label. The company sells its products through national retailers, distributors, audio specialty stores, internet, direct mail catalogs, regional department store chains, discount department stores, grocery stores, electronics retailers, military exchanges, and prisons under the Koss name, as well as private label. It also sells its products to distributors for resale to school systems, as well as directly to other manufacturers. The company also exports its products. Koss Corporation was founded in 1953 and is headquartered in Milwaukee, Wisconsin."
KPTI,"Karyopharm Therapeutics Inc., a pharmaceutical company, engages in the discovery, development, and commercialization of various drugs directed against nuclear export and related targets for the treatment of cancer and other diseases. The company is developing small molecule selective inhibitor of nuclear export (SINE) compounds that inhibit the nuclear export protein exportin 1. Its lead compound is XPOVIO (selinexor) tablets for the treatment of patients with heavily pretreated multiple myeloma and diffuse large B-cell lymphoma (DLBCL). The company develops BOSTON, which is in Phase 3 clinical trial for the treatment of patients with multiple myeloma; STORM, which is in Phase 2b single-arm clinical trial for evaluating oral selinexor in combination with standard, low-dose dexamethasone in heavily pretreated patients, relapsed or refractory myeloma; STOMP, which is in Phase 1b/2 multi-arm clinical trial for the treatment of low-dose dexamethasone plus standard therapies, including Velcade, Kyprolis, Revlimid, and Pomalyst or Darzalex; and SADAL, which is in Phase 2b clinical trial for the treatment of patients with relapsed or refractory DLBCL. It also develops SEAL, which is in Phase 3 clinical trial for the treartment of liposarcoma; SIENDO, which is in Phase 3 clinical trial for treatment of endometrial cancer; and KING, which is in Phase 2 for the treatment of glioblastoma multiforme brain tumor. In addition, the company has various investigational programs in clinical or preclinical development, such as Eltanexor (KPT-8602), KPT-9274, and Verdinexor (KPT-335). The company has collaboration agreement with Curadev Pharma Pvt Ltd to identify and co-develop novel small molecules against various biological targets for the treatment of cancer; and a cooperative research and development agreement with the National Cancer Institute for cancer therapy evaluation program. Karyopharm Therapeutics Inc. was incorporated in 2008 and is headquartered in Newton, Massachusetts."
KR,"The Kroger Co. operates as a retailer in the United States. The company operates combination food and drug stores, multi-department stores, marketplace stores, and price impact warehouses. Its combination food and drug stores offer natural food and organic sections, pharmacies, general merchandise, pet centers, fresh seafood, and organic produce; and multi-department stores provide apparel, home fashion and furnishings, outdoor living, electronics, automotive products, and toys. The company's marketplace stores offer full-service grocery, pharmacy, health and beauty care departments, and perishable goods, as well as general merchandise, including apparel, home goods, and toys; and price impact warehouse stores provide grocery, and health and beauty care items, as well as meat, dairy, baked goods, and fresh produce items. It also manufactures and processes food products for sale in its supermarkets; and sells fuel through 1,596 fuel centers. As of January 30, 2021, the company operated 2,742 retail food stores under various banner names in 35 states and the District of Columbia as well as an online retail store. The Kroger Co. was founded in 1883 and is based in Cincinnati, Ohio."
KRA,"Kraton Corporation manufactures and sells styrenic block copolymers, specialty polymers, and other products in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates in two segments, Polymer and Chemical. The Polymer segment offers performance products, including styrene-butadiene-styrene for paving and roofing application; styrene-isoprene-styrene for personal care application; ethylene-vinyl acetate, polyolefins, and metallocene polyolefins for adhesives application; and specialty polymers, such as hydrogenated styrenic block copolymer, isoprene rubber, and isoprene rubber latex for use in medical and personal care products, adhesives, tackifiers, paints, and coatings. The Chemical segment provides pine-based specialty products that include rosin-based tackifiers for packaging and pressure-sensitive adhesive applications; terpene-based tackifiers for bookbinding, hygiene, and pressure-sensitive adhesive applications; alpha-methyl-styrene (AMS) resins for bookbinding and pressure-sensitive adhesive applications; and hot melt polyamides for flexible packaging, industrial, and road making applications. This segment also provides tall oil fatty acids; tall oil rosin; distilled tall oil; tall oil pitch; and rosin-based binders for the thermoplastic pavement marking submarket, as well as produces insoluble maleic-based tackifiers. In addition, this segment offers terpene-based tread enhancement resins and AMS-based tread enhancement additives; and dimer acids and terpene fractions for fuel additives, oilfield chemicals, mining fluids, coatings, metalworking fluids, and lubricants. It sells its products through various channels, including direct sales force, marketing representatives, and distributors under the Kraton brand. The company was formerly known as Kraton Performance Polymers, Inc. and changed its name to Kraton Corporation in September 2016. Kraton Corporation was incorporated in 2009 and is based in Houston, Texas."
KRBP,"Kiromic BioPharma, Inc., a target discovery and gene editing company, focuses on developing immuno-oncology therapeutics for the treatment of blood cancers and solid tumors. The company develops ALEXIS-ISO-1, an allogenic gamma delta CAR-T cell therapy product candidate targeting Isomesothelin; ALEXIS-PRO-1, an allogeneic gamma delta chimeric T cell therapy product candidate targeting PD-L1; and chimeric gamma delta PD1 T cell switch receptor therapy. It has license agreements with Mercer University; CGA 369 Intellectual Holdings, Inc.; and Longwood University, as well as research and development collaboration agreements with Molipharma, S.R.L. and Leon Office (H.K.). The company was formerly known as Kiromic, Inc. and changed its name to Kiromic BioPharma, Inc. in December 2019. Kiromic BioPharma, Inc. was founded in 2006 and is headquartered in Houston, Texas."
KRC,"Kilroy Realty Corporation (NYSE: KRC, the ÂcompanyÂ, ÂKRCÂ) is a leading West Coast landlord and developer, with a major presence in San Diego, Greater Los Angeles, the San Francisco Bay Area, and the Pacific Northwest. The company has earned global recognition for sustainability, building operations, innovation and design. As pioneers and innovators in the creation of a more sustainable real estate industry, the company's approach to modern business environments helps drive creativity, productivity and employee retention for some of the world's leading technology, entertainment, life science and business services companies. KRC is a publicly traded real estate investment trust (ÂREITÂ) and member of the S&P MidCap 400 Index with more than seven decades of experience developing, acquiring and managing office and mixed-use projects. As of September 30, 2020, KRC's stabilized portfolio totaled approximately 14.3 million square feet of primarily office and life science space that was 92.2% occupied and 95.5% leased. The company also had 808 residential units in Hollywood and San Diego, which had a quarterly average occupancy of 85.0% and 37.5%, respectively. In addition, KRC had seven in-process development projects with an estimated total investment of $1.9 billion, totaling approximately 2.3 million square feet of office and life science space. The office and life science space was 90% leased."
KREF,"KKR Real Estate Finance Trust Inc., a mortgage real estate investment trust, focuses primarily on originating and acquiring senior loans secured by commercial real estate (CRE) assets. The company engages in the origination and purchase of credit investments related to commercial real estate, including leveraged and unleveraged commercial mortgage loans, and commercial mortgage-backed securities. It has elected to be taxed as a real estate investment trust and would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was founded in 2014 and is headquartered in New York, New York."
KRNY,"Kearny Financial Corp. operates as the holding company for Kearny Bank that provides various banking products and services in the United States. The company offers various deposit products, including interest-bearing and non-interest-bearing checking accounts, money market deposit accounts, savings accounts, and certificates of deposit accounts. It also provides various loans, such as multi-family and nonresidential real estate mortgage loans, commercial term loans and lines of credit, one- to four-family first mortgage loans, and home equity loans and lines of credit; loans to individuals for the construction of one- to four-family residences, or for various renovations or improvements to an existing dwelling; account loans, overdraft lines of credit, and personal loans; and loans secured by savings accounts and certificates of deposit on deposit. In addition, the company engages in investment activities. As of August 19, 2020, it operated a total of 51 retail branch offices located throughout northern and central New Jersey, and Brooklyn and Staten Island, New York. The company was founded in 1884 and is headquartered in Fairfield, New Jersey."
KRO,"Kronos Worldwide, Inc. produces and markets titanium dioxide pigments (TiO2) in Europe, North America, the Asia Pacific, and internationally. The company produces TiO2 in two crystalline forms, rutile and anatase to impart whiteness, brightness, opacity, and durability for various products, including paints, coatings, plastics, paper, fibers, and ceramics, as well as for various specialty products, such as inks, foods, and cosmetics. It also produces ilmenite, a raw material used directly as a feedstock by sulfate-process TiO2 plants; iron-based chemicals, which are used as treatment and conditioning agents for industrial effluents and municipal wastewater, as well as in the manufacture of iron pigments, cement, and agricultural products; titanium oxychloride for use in the formulation of pearlescent pigments, and production of electroceramic capacitors for cell phones and other electronic devices; and titanyl sulfate that is used in pearlescent pigments, natural gas pipe, and other specialty applications. In addition, the company provides technical services for its products. It sells its products under the KRONOS brand through agents and distributors to paint, plastics, decorative laminate, and paper manufacturers. The company was founded in 1916 and is headquartered in Dallas, Texas. Kronos Worldwide, Inc. is a subsidiary of Valhi, Inc."
KRON,"Kronos Bio, Inc., a clinical-stage biopharmaceutical company, focuses on the discovery and development of novel cancer therapeutics. The company's product engine focuses on dysregulated transcription factors and the transcriptional regulatory networks that drive oncogenic activity. Its lead product candidate is entospletinib (ENTO), is an orally administered, selective spleen tyrosine kinase inhibitor for acute myeloid leukemia patients. The company planned registrational phase 3 clinical trial of ENTO in combination with induction chemotherapy in acute myeloid leukemia patients with NPM1 mutations. It is also developing KB-0742, an orally bioavailable inhibitor of cyclin dependent kinase 9 for the treatment of MYC-amplified solid tumors, which is in phase 1/2 clinical trial. The company was incorporated in 2017 and is headquartered in San Mateo, California."
KRT,"Karat Packaging Inc. manufactures and distributes single-use disposable products in plastic, paper, biopolymer-based and other compostable forms primarily used in restaurants and foodservice areas. It offers food and take-out containers, bags, tableware, cups, lids, cutlery, and straws under the Karat and Karat Earth names. The company offers its products to domestic and regional distributors, restaurant chains, retail establishments, and online customers. It also provides new product development, design, printing, and logistics services. Karat Packaging Inc. was founded in 2000 and is headquartered in Chino, California."
KRTX,"Karuna Therapeutics, Inc., a clinical-stage biopharmaceutical company, creates and delivers transformative medicines for people living with psychiatric and neurological conditions. Its lead product candidate is KarXT, an oral modulator of muscarinic receptors that has completed Phase II clinical trial for the treatment of acute psychosis in patients with schizophrenia; and in Phase Ib clinical trial for the treatment of central nervous system disorders, such as negative and cognitive symptoms of schizophrenia and psychosis, as well as for the treatment of dementia-related psychosis. The company also focuses on developing other muscarinic-targeted drug candidates. Karuna Therapeutics, Inc. has a license agreement with Eli Lilly and Company; patent license agreement with PureTech Health LLC; and drug discovery partnership with Charles River Laboratories, as well as drug discovery collaboration with PsychoGenics, Inc. The company was formerly known as Karuna Pharmaceuticals, Inc. and changed its name to Karuna Therapeutics, Inc. in March 2019. Karuna Therapeutics, Inc. was incorporated in 2009 and is headquartered in Boston, Massachusetts."
KSS,"Kohl's Corporation operates as a retail company in the United States. It offers branded apparel, footwear, accessories, beauty, and home products through its stores and website. The company provides its products primarily under the brand names of Apt. 9, Croft & Barrow, Jumping Beans, SO, and Sonoma Goods for Life, as well as Food Network, LC Lauren Conrad, and Simply Vera Vera Wang. As of January 30, 2021, it operated 1,162 Kohl's stores; a website www.Kohls.com; and 12 FILA outlets. Kohl's Corporation was founded in 1962 and is headquartered in Menomonee Falls, Wisconsin."
KSU,"Kansas City Southern, a transportation holding company, provides domestic and international rail transportation services in North America. The company serves a ten-state region in the Midwest and southeast regions of the United States and has the shortest north/south rail route between Kansas City, Missouri, and ports along the Gulf of Mexico in Alabama, Louisiana, Mississippi, and Texas. It operates a commercial corridor of the Mexican railroad system and has its direct rail passageway between Mexico City and Laredo, Texas. The company provides rail access to the United States and Mexico border crossing at Nuevo Laredo, Tamaulipas; and controls and operates the southern half of the rail bridge at Laredo, Texas, as well as the northern half of this bridge. Kansas City Southern also offers rail access to the port of Lazaro Cardenas on the Pacific Ocean; and owns a 160-mile rail line extending from Laredo, Texas to the port city of Corpus Christi, Texas. Its rail network comprises approximately 7,100 route miles extending from the Midwest and Southeast portions of the United States south into Mexico. The company serves the chemical and petroleum, industrial and consumer products, agriculture and minerals, energy, intermodal, and automotive markets. Kansas City Southern was founded in 1887 and is headquartered in Kansas City, Missouri."
KTOS,"Kratos Defense & Security Solutions, Inc. operates as a government contractor of the U.S. Department of Defense. The company operates through two segments, Kratos Government Solutions and Unmanned Systems. The Kratos Government Solutions segment offers microwave electronic products, space, training and cybersecurity/ warfare, satellite communications, C5ISR/ modular systems, turbine technologies, and defense and rocket support services. The Unmanned Systems segment provides unmanned aerial systems, and unmanned ground and seaborne systems. It serves national security related agencies, the department of defense, intelligence agencies, and classified agencies, as well as international government agencies and domestic and international commercial customers. Kratos Defense & Security Solutions, Inc. was founded in 1994 and is headquartered in San Diego, California."
KTRA,"Kintara Therapeutics, Inc., a clinical stage drug development company, focuses on developing and commercializing anti-cancer therapies to treat cancer patients. It is developing two late-stage, Phase III-ready therapeutics, including VAL-083, a DNA-targeting agent for the treatment of drug-resistant solid tumors, such as glioblastoma multiforme, as well as other solid tumors, including ovarian cancer, non-small cell lung cancer, and diffuse intrinsic pontine glioma; and REM-001, a photodynamic therapy for the treatment of cutaneous metastatic breast cancer. The company has a strategic collaboration with Guangxi Wuzhou Pharmaceutical (Group) Co. Ltd. to manufacture and sell VAL-083 in China. The company was formerly known as DelMar Pharmaceuticals, Inc. and changed its name to Kintara Therapeutics, Inc. in August 2020. Kintara Therapeutics, Inc. was founded in 2009 and is headquartered in San Diego, California."
KULR,"KULR Technology Group, Inc., through its subsidiary, KULR Technology Corporation, develops and commercializes thermal management technologies for batteries, electronics, and other components applications in the United States. It offers lithium-ion battery thermal runaway shields; fiber thermal interface materials; phase change material heatsinks; HYDRA TRS battery storage bags; internal short circuit device; and CRUX cathodes. The company's technologies are used in electric vehicles, energy storage, battery recycling transportation, cloud computing, and 5G communication devices. It serves electrical transportation, 5G mobile computing, cloud computing, and space exploration and communications markets, as well as lithium-ion battery, energy storage, and battery transportation market. The company was formerly known as KT High-Tech Marketing Inc. and changed its name to KULR Technology Group, Inc. in August 2018. KULR Technology Group, Inc. was founded in 2013 and is based in Campbell, California."
KURA,"Kura Oncology, Inc., a clinical-stage biopharmaceutical company, develops medicines for the treatment of cancer in the United States. Its pipeline consists of small molecule product candidates that target cancer. The company's lead product candidates are tipifarnib, an orally bioavailable inhibitor of farnesyl transferase that is in Phase II clinical trials for the treatment of solid tumors and hematologic indications; and KO-539, a small molecule inhibitor of the menin-Lysine K-specific Methyltransferase 2A protein-protein interaction for the treatment of genetically defined subsets of acute leukemias, including acute myeloid leukemia and acute lymphoblastic leukemia. Kura Oncology, Inc. was founded in 2014 and is headquartered in San Diego, California."
KYMR,"Kymera Therapeutics, Inc., a biopharmaceutical company, focuses on discovering and developing novel small molecule therapeutics that selectively degrade disease-causing proteins by harnessing the body's own natural protein degradation system. It engages in developing IRAK4 program, which is in Phase I clinical trial for the treatment of immunology-inflammation diseases, including hidradenitis suppurativa, atopic dermatitis, and rheumatoid arthritis; IRAKIMiD program to treat MYD88-mutated diffuse large B cell lymphoma; and STAT3 program for the treatment of hematologic malignancies and solid tumors, as well as autoimmune diseases. The company was founded in 2015 and is headquartered in Watertown, Massachusetts."
KYN,"Kayne Anderson MLP Investment Company is a closed ended equity mutual fund launched and managed by KA Fund Advisors, LLC. It is co-managed by Kayne Anderson Capital Advisors, L.P. The fund invests in the public equity markets of the United States. It invests in stocks of companies operating in the energy sector. The fund primarily invests in energy-related master limited partnerships. Kayne Anderson MLP Investment Company was formed on June 4, 2004 and is domiciled in the United States."
KZR,"Kezar Life Sciences, Inc., a clinical-stage biotechnology company, engages in the discovery and development of novel small molecule therapeutics to treat unmet needs in immune-mediated diseases and cancer in the United States. The company's lead product candidate is KZR-616, a selective immunoproteasome inhibitor that is in Phase 2 clinical trials for various indications, including lupus nephritis, dermatomyositis, and polymyositis; and Phase 1b clinical trials in systemic lupus erythematosus and lupus nephritis. Its preclinical products include KZR-261, a novel first-in-class protein secretion inhibitor for the treatment of KZR-261; and KZR-TBD for the treatment of oncology and autoimmunity. The company was founded in 2015 and is based in South San Francisco, California."
LAD,"Lithia Motors, Inc. operates as an automotive retailer in the United States. The company operates through three segments: Domestic, Import, and Luxury. It offers new and used vehicles; vehicle financing services; warranties, insurance contracts, and vehicle and theft protection services; and automotive repair and maintenance services, as well as sells vehicle body and parts. As of February 19, 2021, the company operated through 210 stores. It also offers its products online through 200 websites. Lithia Motors, Inc. was founded in 1946 and is headquartered in Medford, Oregon."
